"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"conhost","1","105","2203421675520","10711040","6479872","7192","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (VPWalletDaemon)","Microsoft Corporation","0.015625","10.0.19041.1288 (WinBuild.160101.0800)","10.0.19041.1288","콘솔 창 호스트","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7740","8",,"False","2021-12-01 오전 8:19:10",,"5008",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7192","7192","6479872","6479872","121264","121264","6537216","6537216","10735616","10735616","2203422724096","104501248","True","Normal","6479872","6479872","conhost","63","1",,"System.Diagnostics.ProcessThreadCollection","105","2203421675520","103452672","False",,,,"10711040","10711040",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.0156250","00:00:00.0156250","00:00:00","0","","True",,
"conhost","1","284","2203495063552","23126016","8830976","15760","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (pwsh)","Microsoft Corporation","3.46875","10.0.19041.1288 (WinBuild.160101.0800)","10.0.19041.1288","콘솔 창 호스트","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9996","8",,"False","2021-12-01 오전 9:21:15",,"20616",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15760","15760","8830976","8830976","238344","238344","12836864","12836864","26939392","26939392","2203505467392","187244544","True","Normal","8830976","8830976","conhost","63","1",,"System.Diagnostics.ProcessThreadCollection","284","2203495063552","176840704","False",,,,"23126016","23126016",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:02.5468750","00:00:03.4687500","00:00:00.9218750","0","","True",,
"conhost","1","214","2203484807168","20373504","9031680","13992",,,,,"0.375",,,,,"Process",,,"8",,"False","2021-12-01 오전 9:17:51",,"21104",".",,,,"13992","13992","9031680","9031680","209384","209384","12365824","12365824","24084480","24084480","2203495727104","177504256",,,"9031680","9031680","conhost",,"1",,"System.Diagnostics.ProcessThreadCollection","214","2203484807168","166584320","False",,,,"20373504","20373504",,,"00:00:00.3125000","00:00:00.3750000","00:00:00.0625000","0","","True",,
"Cortana","1","653","5160824832","81367040","32325632","52608","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_3.2110.13603.0_x64__8wekyb3d8bbwe\Cortana.exe","""C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_3.2110.13603.0_x64__8wekyb3d8bbwe\Cortana.exe"" -ServerName:App.AppX2y379sjp88wjq1y80217mddj3fargf2y.mca",,"Microsoft Corporation","0.9375","3.2110.13603.0","3.2110.13603.0-gadac4177","Cortana","Cortana","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5368","8",,"False","2021-12-01 오전 8:19:36",,"14968",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","52608","52608","32325632","32325632","644688","644688","35315712","35315712","88838144","88838144","5190750208","895782912","True","Normal","32325632","32325632","Cortana","63","1",,"System.Diagnostics.ProcessThreadCollection","653","5160824832","865857536","False",,,,"81367040","81367040",,"System.Diagnostics.ProcessModule (Cortana.exe)","00:00:00.4687500","00:00:00.9375000","00:00:00.4687500","0","","True",,
"CrossEXService","1","152","61145088","8167424","1806336","13376","C:\Program Files (x86)\iniLINE\CrossEX\crossex\CrossEXService.exe","""C:\Program Files (x86)\iniLINE\CrossEX\crossex\CrossEXService.exe""",,"iniLINE Co., Ltd.","0.078125","1.0.2.4","1.0.2.4","CrossEX Service","CrossEX Service","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8252","8",,"False","2021-12-01 오전 8:19:12",,"8992",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13376","13376","1806336","1806336","118352","118352","2101248","2101248","8507392","8507392","79519744","79519744","True","Normal","1806336","1806336","CrossEXService","63","1",,"System.Diagnostics.ProcessThreadCollection","152","61145088","61145088","False",,,,"8167424","8167424",,"System.Diagnostics.ProcessModule (CrossEXService.exe)","00:00:00.0468750","00:00:00.0781250","00:00:00.0312500","0","","True",,
"csrss","0","777","2203416289280","5648384","2240512","24672",,,,,,,,,,"Process",,,"13",,,,,"708",".",,,,"24672","24672","2240512","2240512","255232","255232","2613248","2613248","6041600","6041600","2203418124288","99901440",,,"2240512","2240512","csrss",,"0",,"System.Diagnostics.ProcessThreadCollection","777","2203416289280","98066432","False",,,,"5648384","5648384",,,,,,"0","","True",,
"csrss","1","804","2203447607296","5783552","6455296","39664",,,,,,,,,,"Process",,,"13",,,,,"832",".",,,,"39664","39664","6455296","6455296","266328","266328","11501568","11501568","13598720","13598720","2203451027456","132804608",,,"6455296","6455296","csrss",,"1",,"System.Diagnostics.ProcessThreadCollection","804","2203447607296","129384448","False",,,,"5783552","5783552",,,,,,"0","","True",,
"ctfmon","1","477","2203459125248","22093824","4890624","16632",,,,,"2.609375",,,,,"Process",,,"13",,"False","2021-12-01 오전 8:19:11",,"7516",".",,,,"16632","16632","4890624","4890624","196800","196800","4972544","4972544","22130688","22130688","2203461132288","142909440",,,"4890624","4890624","ctfmon",,"1",,"System.Diagnostics.ProcessThreadCollection","477","2203459125248","140902400","False",,,,"22093824","22093824",,,"00:00:01.9687500","00:00:02.6093750","00:00:00.6406250","0","","True",,
"delfino","1","423","173379584","31547392","28536832","31784","C:\program files (x86)\wizvera\delfino-g3\delfino.exe","""C:\program files (x86)\wizvera\delfino-g3\delfino.exe"" ","System.Diagnostics.Process","Wizvera","1.421875","3.6.6.9","3.6.6.9","WIZVERA Delfino Handler 3.6.6.9","Delfino Handler","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2600","8",,"False","2021-12-01 오전 8:19:17",,"11036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31784","31784","28536832","28536832","220264","220264","46055424","46055424","51568640","51568640","201949184","201949184","True","Normal","28536832","28536832","delfino","63","1",,"System.Diagnostics.ProcessThreadCollection","423","173379584","173379584","False",,,,"31547392","31547392",,"System.Diagnostics.ProcessModule (delfino.exe)","00:00:00.2343750","00:00:01.4218750","00:00:01.1875000","0","","True",,
"dllhost","1","226","2203571322880","13451264","4014080","17128","C:\WINDOWS\system32\DllHost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}",,"Microsoft Corporation","0.109375","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7916","8",,"False","2021-12-01 오전 8:37:50",,"3320",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17128","17128","4014080","4014080","144320","144320","6201344","6201344","14569472","14569472","2203584536576","266313728","True","Normal","4014080","4014080","dllhost","63","1",,"System.Diagnostics.ProcessThreadCollection","226","2203571322880","253100032","False",,,,"13451264","13451264",,"System.Diagnostics.ProcessModule (DllHost.exe)","00:00:00.1093750","00:00:00.1093750","00:00:00","0","","True",,
"dllhost","0","207","2203550511104","11591680","4091904","17808",,,,,,,,,,"Process",,,"8",,,,,"8008",".",,,,"17808","17808","4091904","4091904","112312","112312","4321280","4321280","11714560","11714560","2203557355520","239132672",,,"4091904","4091904","dllhost",,"0",,"System.Diagnostics.ProcessThreadCollection","207","2203550511104","232288256","False",,,,"11591680","11591680",,,,,,"0","","True",,
"dwm","1","1246","2203802406912","77672448","121417728","72992",,,,,,,,,,"Process",,,"13",,,,,"1280",".",,,,"72992","72992","121417728","121417728","770488","770488","154746880","154746880","79605760","79605760","2203831074816","512851968",,,"121417728","121417728","dwm",,"1",,"System.Diagnostics.ProcessThreadCollection","1246","2203802406912","484184064","False",,,,"77672448","77672448",,,,,,"0","","True",,
"eausvc","0","128","37367808","5812224","1261568","8712",,,,,,,,,,"Process",,,"8",,,,,"4064",".",,,,"8712","8712","1261568","1261568","72592","72592","1540096","1540096","6258688","6258688","42610688","42610688",,,"1261568","1261568","eausvc",,"0",,"System.Diagnostics.ProcessThreadCollection","128","37367808","37367808","False",,,,"5812224","5812224",,,,,,"0","","True",,
"explorer","1","2677","2204051759104","173547520","99315712","113272","C:\WINDOWS\Explorer.EXE","C:\WINDOWS\Explorer.EXE","System.Diagnostics.Process","Microsoft Corporation","42.34375","10.0.19041.1288 (WinBuild.160101.0800)","10.0.19041.1288","Windows 탐색기","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8120","8",,"False","2021-12-01 오전 8:19:12",,"8828",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","113272","113272","99315712","99315712","1251216","1251216","110223360","110223360","187629568","187629568","2204160700416","842477568","True","Normal","99315712","99315712","explorer","63","1",,"System.Diagnostics.ProcessThreadCollection","2677","2204051759104","733536256","False",,,,"173547520","173547520",,"System.Diagnostics.ProcessModule (Explorer.EXE)","00:00:30.8437500","00:00:42.3437500","00:00:11.5000000","65814","","True",,
"fontdrvhost","0","32","2203401019392","4517888","1957888","5568",,,,,,,,,,"Process",,,"8",,,,,"1064",".",,,,"5568","5568","1957888","1957888","62456","62456","2043904","2043904","4546560","4546560","2203402526720","84303872",,,"1957888","1957888","fontdrvhost",,"0",,"System.Diagnostics.ProcessThreadCollection","32","2203401019392","82796544","False",,,,"4517888","4517888",,,,,,"0","","True",,
"fontdrvhost","1","32","2203566612480","12763136","5910528","10192",,,,,,,,,,"Process",,,"8",,,,,"1072",".",,,,"10192","10192","5910528","5910528","357208","357208","11292672","11292672","19451904","19451904","2203665620992","347398144",,,"5910528","5910528","fontdrvhost",,"1",,"System.Diagnostics.ProcessThreadCollection","32","2203566612480","248389632","False",,,,"12763136","12763136",,,,,,"0","","True",,
"GameManagerService","0","1406","287637504","101351424","73576448","72496",,,,,,,,,,"Process",,,"8",,,,,"4260",".",,,,"72496","72496","73576448","73576448","418840","418840","94920704","94920704","130142208","130142208","358494208","358494208",,,"73576448","73576448","GameManagerService",,"0",,"System.Diagnostics.ProcessThreadCollection","1406","287637504","287637504","False",,,,"101351424","101351424",,,,,,"0","","True",,
"GoogleCrashHandler","0","182","53022720","1130496","1826816","11160",,,,,,,,,,"Process",,,"4",,,,,"9828",".",,,,"11160","11160","1826816","1826816","103792","103792","2187264","2187264","8941568","8941568","59576320","59576320",,,"1826816","1826816","GoogleCrashHandler",,"0",,"System.Diagnostics.ProcessThreadCollection","182","53022720","53022720","False",,,,"1130496","1130496",,,,,,"0","","True",,
"GoogleCrashHandler64","0","165","4389130240","946176","1884160","9736",,,,,,,,,,"Process",,,"4",,,,,"9968",".",,,,"9736","9736","1884160","1884160","114096","114096","2043904","2043904","8294400","8294400","4394373120","99405824",,,"1884160","1884160","GoogleCrashHandler64",,"0",,"System.Diagnostics.ProcessThreadCollection","165","4389130240","94162944","False",,,,"946176","946176",,,,,,"0","","True",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,,,"Process",,,"0",,,,,"0",".",,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440","Idle",,"0",,"System.Diagnostics.ProcessThreadCollection","0","8192","8192","False",,,,"8192","8192",,,,,,"0","","True",,
"IniClientSvc_x64","0","162","4377411584","8572928","2830336","10320",,,,,,,,,,"Process",,,"8",,,,,"4100",".",,,,"10320","10320","2830336","2830336","78920","78920","3940352","3940352","10084352","10084352","4405813248","110845952",,,"2830336","2830336","IniClientSvc_x64",,"0",,"System.Diagnostics.ProcessThreadCollection","162","4377411584","82444288","False",,,,"8572928","8572928",,,,,,"0","","True",,
"INISAFEAdminUtil","1","165","70516736","9183232","2854912","13728",,,,,"0.28125",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:11",,"4644",".",,,,"13728","13728","2854912","2854912","135864","135864","3522560","3522560","9748480","9748480","74752000","74752000",,,"2854912","2854912","INISAFEAdminUtil",,"1",,"System.Diagnostics.ProcessThreadCollection","165","70516736","70516736","False",,,,"9183232","9183232",,,"00:00:00.0468750","00:00:00.2812500","00:00:00.2343750","0","","True",,
"INISAFECrossWebEXSvc","1","378","158367744","20238336","14831616","33960",,,,,"1.171875",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:11",,"4444",".",,,,"33960","33960","14831616","14831616","170624","170624","15233024","15233024","21061632","21061632","163872768","163872768",,,"14831616","14831616","INISAFECrossWebEXSvc",,"1",,"System.Diagnostics.ProcessThreadCollection","378","158367744","158367744","False",,,,"20238336","20238336",,,"00:00:00.3125000","00:00:01.1718750","00:00:00.8593750","0","","True",,
"innoThinkFDSComponent","0","162","45342720","8343552","4419584","12632",,,,,,,,,,"Process",,,"8",,,,,"3412",".",,,,"12632","12632","4419584","4419584","80944","80944","4743168","4743168","8880128","8880128","50585600","50585600",,,"4419584","4419584","innoThinkFDSComponent",,"0",,"System.Diagnostics.ProcessThreadCollection","162","45342720","45342720","False",,,,"8343552","8343552",,,,,,"0","","True",,
"KOSinj","1","530","115347456","19251200","6438912","25464",,,,,"17.859375",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:11",,"8524",".",,,,"25464","25464","6438912","6438912","219296","219296","6967296","6967296","23973888","23973888","120590336","120590336",,,"6438912","6438912","KOSinj",,"1",,"System.Diagnostics.ProcessThreadCollection","530","115347456","115347456","False",,,,"19251200","19251200",,,"00:00:13.2500000","00:00:17.8593750","00:00:04.6093750","0","","True",,
"KOSinj64","1","40","4370956288","2768896","684032","5024",,,,,"0.015625",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:12",,"8652",".",,,,"5024","5024","684032","684032","88792","88792","737280","737280","3293184","3293184","4373053440","78086144",,,"684032","684032","KOSinj64",,"1",,"System.Diagnostics.ProcessThreadCollection","40","4370956288","75988992","False",,,,"2768896","2768896",,,"00:00:00.0156250","00:00:00.0156250","00:00:00","0","","True",,
"KOSSvc","0","293","83501056","23339008","6512640","15992",,,,,,,,,,"Process",,,"8",,,,,"4480",".",,,,"15992","15992","6512640","6512640","169592","169592","6995968","6995968","23810048","23810048","93978624","93978624",,,"6512640","6512640","KOSSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","293","83501056","83501056","False",,,,"23339008","23339008",,,,,,"0","","True",,
"lsass","0","1538","2203423023104","21975040","8671232","26152",,,,,,,,,,"Process",,,"9",,,,,"916",".",,,,"26152","26152","8671232","8671232","170464","170464","10592256","10592256","23797760","23797760","2203424088064","105865216",,,"8671232","8671232","lsass",,"0",,"System.Diagnostics.ProcessThreadCollection","1538","2203423023104","104800256","False",,,,"21975040","21975040",,,,,,"0","","True",,
"macourtsafer","1","163","71294976","8155136","6041600","11920",,,,,"0.140625",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:13",,"9184",".",,,,"11920","11920","6041600","6041600","124552","124552","6766592","6766592","12738560","12738560","91107328","91107328",,,"6041600","6041600","macourtsafer",,"1",,"System.Diagnostics.ProcessThreadCollection","163","71294976","71294976","False",,,,"8155136","8155136",,,"00:00:00.0468750","00:00:00.1406250","00:00:00.0937500","0","","True",,
"macourtsafersvc","0","153","44736512","7155712","1961984","9368",,,,,,,,,,"Process",,,"8",,,,,"4132",".",,,,"9368","9368","1961984","1961984","86224","86224","2629632","2629632","8105984","8105984","52625408","52625408",,,"1961984","1961984","macourtsafersvc",,"0",,"System.Diagnostics.ProcessThreadCollection","153","44736512","44736512","False",,,,"7155712","7155712",,,,,,"0","","True",,
"mDNSResponder","0","192","36425728","7847936","2514944","16216",,,,,,,,,,"Process",,,"8",,,,,"4068",".",,,,"16216","16216","2514944","2514944","72840","72840","2777088","2777088","8298496","8298496","44179456","44179456",,,"2514944","2514944","mDNSResponder",,"0",,"System.Diagnostics.ProcessThreadCollection","192","36425728","36425728","False",,,,"7847936","7847936",,,,,,"0","","True",,
"Memory Compression","0","0","140115968","124743680","368640","0",,,,,,,,,,"Process",,,"8",,,,,"2860",".",,,,"0","0","368640","368640","4224","4224","380928","380928","143749120","143749120","159252480","159252480",,,"368640","368640","Memory Compression",,"0",,"System.Diagnostics.ProcessThreadCollection","0","140115968","140115968","False",,,,"124743680","124743680",,,,,,"0","","True",,
"Microsoft.Photos","1","691","5259345920","8077312","52031488","47848","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca",,"Microsoft Corporation","1.078125","2021.21090.10008.00000","2021.21090.1000800000-release2021.07","Microsoft.Photos.exe","Microsoft Photos","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7144","8",,"False","2021-12-01 오전 10:02:35",,"12844",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","47848","47848","52031488","52031488","777816","777816","55844864","55844864","103501824","103501824","5264588800","969621504","True","Normal","52031488","52031488","Microsoft.Photos","63","1",,"System.Diagnostics.ProcessThreadCollection","691","5259345920","964378624","False",,,,"8077312","8077312",,"System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","00:00:00.5937500","00:00:01.0781250","00:00:00.4843750","0","","True",,
"msedge","1","290","2255311368192","30957568","10100736","17840","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=2428,8351631428384983575,5794801152509823753,131072 --lang=ko --service-sandbox-type=none --mojo-platform-channel-handle=3012 /prefetch:3","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.5","96.0.1054.34","96.0.1054.34","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5468","8",,"False","2021-12-01 오전 8:19:31",,"1712",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17840","17840","10100736","10100736","621112","621112","10686464","10686464","31092736","31092736","2255378268160","520437760","True","Normal","10100736","10100736","msedge","63","1",,"System.Diagnostics.ProcessThreadCollection","290","2255311368192","453537792","False",,,,"30957568","30957568",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.3281250","00:00:00.5000000","00:00:00.1718750","0","","True",,
"msedge","1","1170","2272883273728","92483584","29458432","54080","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start /prefetch:5","System.Diagnostics.Process (explorer)","Microsoft Corporation","8.46875","96.0.1054.34","96.0.1054.34","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8672","8",,"False","2021-12-01 오전 8:19:31",,"2260",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","54080","54080","29458432","29458432","914112","914112","36368384","36368384","101896192","101896192","2273009897472","972197888","True","Normal","29458432","29458432","msedge","63","1",,"System.Diagnostics.ProcessThreadCollection","1170","2272883273728","845574144","False",,,,"92483584","92483584",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:07.1875000","00:00:08.4687500","00:00:01.2812500","0","","True",,
"msedge","1","136","2237833805824","7131136","2007040","9240","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\Mark.Yoo\AppData\Local\Microsoft\Edge\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\Mark.Yoo\AppData\Local\Microsoft\Edge\User Data\Crashpad"" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=96.0.4664.55 ""--annotation=exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --annotation=plat=Win64 ""--annotation=prod=Microsoft Edge"" --annotation=ver=96.0.1054.34 --initial-client-data=0xf0,0xf4,0xf8,0xcc,0xfc,0x7ffa783ca740,0x7ffa783ca750,0x7ffa783ca760","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.015625","96.0.1054.34","96.0.1054.34","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5572","8",,"False","2021-12-01 오전 8:19:31",,"2400",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9240","9240","2007040","2007040","118920","118920","2105344","2105344","7573504","7573504","2237850853376","172892160","True","Normal","2007040","2007040","msedge","63","1",,"System.Diagnostics.ProcessThreadCollection","136","2237833805824","155844608","False",,,,"7131136","7131136",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.0156250","00:00:00.0156250","00:00:00","0","","True",,
"msedge","1","206","2255239446528","18010112","7020544","13456","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=2428,8351631428384983575,5794801152509823753,131072 --lang=ko --service-sandbox-type=utility --mojo-platform-channel-handle=3008 /prefetch:8","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.078125","96.0.1054.34","96.0.1054.34","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8632","8",,"False","2021-12-01 오전 8:19:32",,"3244",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13456","13456","7020544","7020544","571584","571584","7188480","7188480","18268160","18268160","2255247835136","390004736","True","Normal","7020544","7020544","msedge","63","1",,"System.Diagnostics.ProcessThreadCollection","206","2255239446528","381616128","False",,,,"18010112","18010112",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.0312500","00:00:00.0781250","00:00:00.0468750","0","","True",,
"msedge","1","648","2255505199104","43917312","31670272","24440","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=gpu-process --field-trial-handle=2428,8351631428384983575,5794801152509823753,131072 --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAADQAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=2568 /prefetch:2","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.296875","96.0.1054.34","96.0.1054.34","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9696","10",,"False","2021-12-01 오전 8:19:31",,"5076",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24440","24440","31670272","31670272","805536","805536","31776768","31776768","45244416","45244416","2255538761728","680931328","True","AboveNormal","31670272","31670272","msedge","63","1",,"System.Diagnostics.ProcessThreadCollection","648","2255505199104","647368704","False",,,,"43917312","43917312",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.2031250","00:00:00.2968750","00:00:00.0937500","0","","True",,
"MsMpEng","0","967","2204018950144","203300864","267902976","90008",,,,,,,,,,"Process",,,"8",,,,,"4512",".",,,,"90008","90008","267902976","267902976","688472","688472","794431488","794431488","747171840","747171840","2204525236224","1207013376",,,"267902976","267902976","MsMpEng",,"0",,"System.Diagnostics.ProcessThreadCollection","967","2204018950144","700727296","False",,,,"203300864","203300864",,,,,,"0","","True",,
"natsvc","0","502","120963072","28999680","13111296","37176",,,,,,,,,,"Process",,,"8",,,,,"4148",".",,,,"37176","37176","13111296","13111296","176408","176408","15990784","15990784","29425664","29425664","138002432","138002432",,,"13111296","13111296","natsvc",,"0",,"System.Diagnostics.ProcessThreadCollection","502","120963072","120963072","False",,,,"28999680","28999680",,,,,,"0","","True",,
"NisSrv","0","219","2203428331520","13553664","7774208","14088",,,,,,,,,,"Process",,,"8",,,,,"7196",".",,,,"14088","14088","7774208","7774208","116888","116888","11190272","11190272","14319616","14319616","2203456135168","137912320",,,"7774208","7774208","NisSrv",,"0",,"System.Diagnostics.ProcessThreadCollection","219","2203428331520","110108672","False",,,,"13553664","13553664",,,,,,"0","","True",,
"nosstarter.npe","1","1154","481255424","20381696","75255808","121216",,,,,,,,,,"Process",,,"8",,,,,"8628",".",,,,"121216","121216","75255808","75255808","352304","352304","78839808","78839808","84226048","84226048","489713664","489713664",,,"75255808","75255808","nosstarter.npe",,"1",,"System.Diagnostics.ProcessThreadCollection","1154","481255424","481255424","False",,,,"20381696","20381696",,,,,,"0","","True",,
"nossvc","0","309","111869952","5824512","12230656","29584",,,,,,,,,,"Process",,,"8",,,,,"4284",".",,,,"29584","29584","12230656","12230656","130960","130960","20090880","20090880","21803008","21803008","120561664","120561664",,,"12230656","12230656","nossvc",,"0",,"System.Diagnostics.ProcessThreadCollection","309","111869952","111869952","False",,,,"5824512","5824512",,,,,,"0","","True",,
"ObCrossEXService","0","83","18665472","4067328","1372160","5968",,,,,,,,,,"Process",,,"8",,,,,"4120",".",,,,"5968","5968","1372160","1372160","30696","30696","1884160","1884160","4956160","4956160","22867968","22867968",,,"1372160","1372160","ObCrossEXService",,"0",,"System.Diagnostics.ProcessThreadCollection","83","18665472","18665472","False",,,,"4067328","4067328",,,,,,"0","","True",,
"OfficeClickToRun","0","733","2203593949184","66056192","44294144","27816",,,,,,,,,,"Process",,,"8",,,,,"4140",".",,,,"27816","27816","44294144","44294144","299904","299904","74772480","74772480","98975744","98975744","2203687174144","368951296",,,"44294144","44294144","OfficeClickToRun",,"0",,"System.Diagnostics.ProcessThreadCollection","733","2203593949184","275726336","False",,,,"66056192","66056192",,,,,,"0","","True",,
"OneDrive","1","724","2238124146688","89124864","31399936","65728","C:\Users\Mark.Yoo\AppData\Local\Microsoft\OneDrive\OneDrive.exe","""C:\Users\Mark.Yoo\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","System.Diagnostics.Process (explorer)","Microsoft Corporation","2.1875","21.220.1024.0005","21.220.1024.0005","Microsoft OneDrive","Microsoft OneDrive","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8948","8",,"False","2021-12-01 오전 8:19:28",,"13516",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","65728","65728","31399936","31399936","645752","645752","38985728","38985728","98316288","98316288","2238127165440","449204224","True","Normal","31399936","31399936","OneDrive","63","1",,"System.Diagnostics.ProcessThreadCollection","724","2238124146688","446185472","False",,,,"89124864","89124864",,"System.Diagnostics.ProcessModule (OneDrive.exe)","00:00:01.8281250","00:00:02.1875000","00:00:00.3593750","66820","","True",,
